run_id,physical_case,representation,model_label,trained_objective,checkpoint_iteration,objective,evaluation_state,support,state_indices,value,history_kind,fitted_objective,checkpoint_parameter_pytree_sha256,checkpoint_path
t2b-b-m2x-warm,Test 2B,B,warm M2-X,M2-X,10,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,2.6956964435328037e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,8b7404766f99ed9e1bb9cd8a0a5fa69795b6a7679d26790f364ad3be8e136f26,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m1-to-m2x-m20-5k/checkpoint_000000010_parameters.npz
t2b-b-m2x-warm,Test 2B,B,warm M2-X,M2-X,20,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,2.6886319366161283e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,2cb47c1af4bdc1959d83156e3dda2a22972a7c7739ffdf0185444a066ab56d73,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m1-to-m2x-m20-5k/checkpoint_000000020_parameters.npz
t2b-b-m2x-warm,Test 2B,B,warm M2-X,M2-X,100,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,2.650678018743514e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,fce19bf3c70c511a1f07df236ee5d22b7ca10a3d48800d0b9c58b9b7c046107a,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m1-to-m2x-m20-5k/checkpoint_000000100_parameters.npz
t2b-b-m2x-warm,Test 2B,B,warm M2-X,M2-X,500,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,2.492732635329863e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,ca396fefd400f12c5b9a0249ca93ff5822539d93b1316c3d9f1bedccde989285,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m1-to-m2x-m20-5k/checkpoint_000000500_parameters.npz
t2b-b-m2x-warm,Test 2B,B,warm M2-X,M2-X,1000,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,2.3122286497560376e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,fd1f1548aa71feb929dba5a667a70f1f41660ca8845807850c0b09405bf840d9,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m1-to-m2x-m20-5k/checkpoint_000001000_parameters.npz
t2b-b-m2x-warm,Test 2B,B,warm M2-X,M2-X,5000,J_M2_X,X_n*,TRAINING TRUTH SUPPORT,0..80,1.4814244410556754e-05,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,5e1bca9a6345f9bcd0360aa3e7e3feeef2cb2b2ac960e00106a7779e8d7892db,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/m1-to-m2x-m20-5k/checkpoint_000005000_parameters.npz
t2b-b-h1,Test 2B,B,H1,H1,0,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,0..79,0.00022321605852819912,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,cfc9d3da6a8d07d74ae17e3d9a5beabe434e63b8005e95df4a1925c3a63c609c,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/h1-from-m1-m20-5k/checkpoint_000000000_parameters.npz
t2b-b-h1,Test 2B,B,H1,H1,1,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,0..79,0.00020501295565528366,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,d22668e2aed362752e7fed1ea514fa7726bd095e4a78b16f0649cb8a288ba7e3,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/h1-from-m1-m20-5k/checkpoint_000000001_parameters.npz
t2b-b-h1,Test 2B,B,H1,H1,5,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,0..79,0.00018277294829121456,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,17a2b9ee15ffdf1069bd0c17f2b82195e018460ee934c60ca92ea41df9722147,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/h1-from-m1-m20-5k/checkpoint_000000005_parameters.npz
t2b-b-h1,Test 2B,B,H1,H1,10,J_H1,Y_n*=P(X_n*),TRAINING TRUTH SUPPORT,0..79,0.00013174050637115755,POST-HOC FIXED-MAP CHECKPOINT EVALUATION,True,cc79175e2ab1b3382d6eab0c2a01268596db05cb3aa0d5f0be037eb14490dc6b,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-study-d0eb615/external-results/test2b-rain-active-learning/production/representation-B/h1-from-m1-m20-5k/checkpoint_000000010_parameters.npz
